s	label	match	strunz	notes	elements	crystal	url	ima
gcmin:frankhawthorneite	Frankhawthorneite	<https://www.mindat.org/1:1:6958:4>	04.FD.25	Roberts A C, Grice J D, Criddle A J, Jensen M C, Harris D C, Moffatt E A (1995) Frankhawthorneite, Cu_2_Te^6+^O_4_(OH)_2_, a new mineral species from the Centennial Eureka Mine, Tintic District, Juab County, Utah, The Canadian Mineralogist 33, 641-647	Cu | Te | O | H	monoclinic	http://www.mindat.org/min-6958.html	IMA1993-047
gcmin:franklinfurnaceite	Franklinfurnaceite	<https://www.mindat.org/1:1:1597:0>	09.EC.55	Dunn P J, Peacor D R, Ramik R A, Su S, Rouse R C (1987) Franklinfurnaceite, a Ca-Fe^3+^-Mn^3+^-Mn^2+^ zincosilicate isotypic with chlorite, from Franklin, New Jersey, American Mineralogist 72, 812-815	Ca | Mn | Fe | Zn | Si | O | H	monoclinic	http://www.mindat.org/min-1597.html	IMA1986-034
gcmin:franklinite	Franklinite	<https://www.mindat.org/1:1:1598:7>	04.BB.05	Berthier P (1819) Analyse de deux minéraux zincifères des États-Unis d´Amérique, Annales des Mines 4, 483-494	Zn | Fe | O	cubic	http://www.mindat.org/min-1598.html	
gcmin:franklinphilite	Franklinphilite	<https://www.mindat.org/1:1:1599:4>	09.EG.40	Dunn P J, Peacor D R, Su S C (1992) Franklinphilite, the manganese analog of stilpnomelane, from Franklin, New Jersey, The Mineralogical Record 23, 465-468	K | Na | Mn | Mg | Zn | Si | Al | O | H	triclinic	http://www.mindat.org/min-1599.html	IMA1990-050
gcmin:fransoletite	Fransoletite	<https://www.mindat.org/1:1:1600:7>	08.CA.05	Peacor D R, Dunn P J, Roberts W L, Campbell T J, Newbury D (1983) Fransoletite, a new calcium beryllium phosphate from the Tip Top Pegmatite, Custer, South Dakota, Bulletin de Minéralogie 106, 499-503	Ca | Be | P | O | H	monoclinic	http://www.mindat.org/min-1600.html	IMA1982-096
gcmin:franzinite	Franzinite	<https://www.mindat.org/1:1:1601:4>	09.FB.05	Merlino S, Orlandi P (1977) Franzinite, a new mineral phase from Pitigliano (Italy), Neues Jahrbuch für Mineralogie, Monatshefte 1977, 163-167 Chemical formula redefined: Ballirano P, Bonaccorsi E, Maras A, Merlino S (2000) The crystal structure of franzinite, the ten-layer mineral of the cancrinite group, The Canadian Mineralogist 38, 657-668	Na | K | Ca | Si | Al | O | S | H	hexagonal	http://www.mindat.org/min-1601.html	IMA1976-020
gcmin:francoisite-ce	Françoisite-(Ce)	<https://www.mindat.org/1:1:27480:5>	08.EC.05	Meisser N, Brugger J, Ansermet S, Thélin P, Bussy F (2010) Françoisite-(Ce), a new mineral species from La Creusaz uranium deposit (Valais, Switzerland) and from Radium Ridge (Flinders Ranges, South Australia): Description and genesis, American Mineralogist 95, 1527-1532	Ce | U | O | P | H	monoclinic	http://www.mindat.org/min-27480.html	IMA2004-029
gcmin:francoisite-nd	Françoisite-(Nd)	<https://www.mindat.org/1:1:1594:9>	08.EC.05	Piret P, Deliens M, Piret-Meunier J (1988) La françoisite-(Nd), nouveau phosphate d'uranyle et de terres rares; propriétés et structure cristalline, Bulletin de Minéralogie 111, 443-449	Nd | U | O | P | H	monoclinic	http://www.mindat.org/min-1594.html	IMA1987-041
gcmin:freboldite	Freboldite	<https://www.mindat.org/1:1:1602:1>	02.CC.05	Strunz H (1957) NiAs-typus und verwandte: Freboldit, in Mineralogische Tabellen, 3rd edition, Leipzig, Geest and Portig 98-98	Co | Se	hexagonal	http://www.mindat.org/min-1602.html	
gcmin:fredrikssonite	Fredrikssonite	<https://www.mindat.org/1:1:1603:8>	06.AB.30	Dunn P J, Peacor D R, Simmons W B, Newbury D (1983) Fredrikssonite, a new member of the pinakiolite series from Långban, Sweden, Geologiska Föreningens i Stockholm Förhandlingar 105, 335-340	Mg | Mn | O | B	orthorhombic	http://www.mindat.org/min-1603.html	IMA1983-040
gcmin:freedite	Freedite	<https://www.mindat.org/1:1:1604:5>	04.JB.65	Dunn P J, Rouse R C (1985) Freedite and thorikosite from Långban, Sweden, and Laurion, Greece: two new species related to the synthetic bismuth oxyhalides, American Mineralogist 70, 845-848 Chemical formula is revised: Pertilik F (1987) The structure of freedite, Pb_8_Cu(AsO_3_)_2_O_3_Cl_5_. Mineralogy and Petrology 36, 85-92	Cu | Pb | As | O | Cl	monoclinic	http://www.mindat.org/min-1604.html	IMA1984-012
<https://w3id.org/geochem/1.0/mingroup/1605>	Freibergite	<https://www.mindat.org/1:1:1605:2>	02.GB.05	Kenngott G A (1853) Freibergit, in Das Mohs'sche Mineralsystem, dem gegenwärtigen Standpuncte der Wissenschaft gemäss bearbeitet, (Wien) 117-117	Ag | Cu | Fe | Sb | S	cubic	https://mindat.org/min-1605.html	
gcmin:freieslebenite	Freieslebenite	<https://www.mindat.org/1:1:1606:9>	02.JB.15	Haidinger W (1845) Zweite Klasse: Geogenide. XIV. Ordnung. Glanze. VII. Antimonglanz. Freieslebenit., in Handbuch der Bestimmenden Mineralogie, Bei Braumüller and Seidel (Wien) 563-570	Ag | Pb | Sb | S	monoclinic	http://www.mindat.org/min-1606.html	
<https://w3id.org/geochem/1.0/mingroup/46665>	Freieslebenite Group	<https://www.mindat.org/1:1:46665:5>					https://mindat.org/min-46665.html	
gcmin:fresnoite	Fresnoite	<https://www.mindat.org/1:1:1607:6>	09.BE.15	Alfors J T, Stinson M C, Matthews R A, Pabst A (1965) Seven new barium minerals from eastern Fresno County, California, American Mineralogist 50, 314-340	Ba | Ti | O | Si	tetragonal	http://www.mindat.org/min-1607.html	IMA1964-012
gcmin:freudenbergite	Freudenbergite	<https://www.mindat.org/1:1:1608:3>	04.CC.10	Frenzel G (1961) Ein neues mineral: Freudenbergit (Na_2_Fe_2_Ti_7_O_18_), Neues Jahrbuch für Mineralogie, Monatshefte 1961, 12-22 Chemical formula revised: McKie D, Long J V P (1970) The unit-cell contents of frudenbergite, Zeitschrift für Kristallographie 132, 157-160 Chemical formula revised from Na_2_(Ti, Fe^3+^)_8_O_16_: Ishiguro T, Tanaka K, Marumo F, Ismail M G M U, Hirano S, Somiya S (1978) Freudenbergite. Acta Crystallographica B34, 255-256	Na | Ti | Fe | O	monoclinic	http://www.mindat.org/min-1608.html	
gcmin:friedelite	Friedelite	<https://www.mindat.org/1:1:1609:0>	09.EE.10	Bertrand E (1876) Sur un nouveau minéral des Pyrénees, Comptes Rendus Hebdomadaires des Séances de l'Académie des Sciences 82, 1167-1168	Mn | Si | O | H	monoclinic	http://www.mindat.org/min-1609.html	
gcmin:friedrichbeckeite	Friedrichbeckeite	<https://www.mindat.org/1:1:38698:8>	09.CM.05	Lengauer C L, Hrauda N, Kolitsch U, Krickl R, Tillmanns E (2009) Friedrichbeckeite, K([box]_0.5_Na_0.5_)_2_(Mg_0.8_Mn_0.1_Fe_0.1_)_2_(Be_0.6_Mg_0.4_)_3_[Si_12_O_30_], a new milarite-type mineral from the Bellerberg volcano, Eifel area, Germany, Mineralogy and Petrology 96, 221-232	K | Na | Mg | Be | Si | O	hexagonal	http://www.mindat.org/min-38698.html	IMA2008-019
gcmin:friedrichite	Friedrichite	<https://www.mindat.org/1:1:1610:6>	02.HB.05a	Chen T T, Kirchner E, Paar W (1978) Friedrichite, Cu_5_Pb_5_Bi_7_S_18_, a new member of the aikinite-bismuthinite series, The Canadian Mineralogist 16, 127-130	Cu | Pb | Bi | S	orthorhombic	http://www.mindat.org/min-1610.html	IMA1977-031
gcmin:fritzscheite	Fritzscheite	<https://www.mindat.org/1:1:1611:3>	04.HB.15	Breithaupt A (1865) Mineralogische studien. 2. Fritzscheït und uranite überhaupt, Berg- und Huttenmannische Zeitung 24, 302-303	Mn | U | O | V | P | H	orthorhombic	http://www.mindat.org/min-1611.html	
gcmin:frohbergite	Frohbergite	<https://www.mindat.org/1:1:1612:0>	02.EB.10a	Thompson R M (1947) Frohbergite, FeTe_2_: a new mineral of the marcasite group, University of Toronto Studies: VI. Geological Series 51, 35-40 Hurlbut C S (1947) Proceedings of the twenty-seventh annual meeting of the Mineralogical Society of America at Chicago, Illinois, American Mineralogist 32, 189-214	Fe | Te	orthorhombic	http://www.mindat.org/min-1612.html	
gcmin:frolovite	Frolovite	<https://www.mindat.org/1:1:1613:7>	06.AC.20	Petrova E S (1957) A new hydrous calcium borate - frolovite, Zapiski Vsesoyuznogo Mineralogicheskogo Obshchestva 86(5), 622-625	Ca | B | O | H	triclinic	http://www.mindat.org/min-1613.html	
gcmin:frondelite	Frondelite	<https://www.mindat.org/1:1:1614:4>	08.BC.10	Lindberg M L (1949) Frondelite and the frondelite-rockbridgeite series, American Mineralogist 34, 541-549	Mn | Fe | P | O | H	orthorhombic	http://www.mindat.org/min-1614.html	
gcmin:froodite	Froodite	<https://www.mindat.org/1:1:1615:1>	02.AC.45a	Hawley J E, Berry L G (1958) Michenerite and froodite, palladium bismuthide minerals, The Canadian Mineralogist 6, 200-209	Pd | Bi	monoclinic	http://www.mindat.org/min-1615.html	
gcmin:fuenzalidaite	Fuenzalidaite	<https://www.mindat.org/1:1:1618:2>	07.DG.40	Konnert J A, Evans H T, McGee J J, Ericksen G E (1994) Mineralogical studies of the nitrate deposits of Chile: VII. two new saline minerals with the composition K_6_(Na,K)_4_Na_6_Mg_10_(<i>X</i>O_4_)_12_(IO_3_)_12_·12H_2_O: fuenzalidaite (<i>X</i> = S) and carlosruizite (<i>X</i> = Se), American Mineralogist 79, 1003-1008	K | Na | Mg | I | O | S | H	hexagonal	http://www.mindat.org/min-1618.html	IMA1993-021
gcmin:fuettererite	Fuettererite	<https://www.mindat.org/1:1:42738:2>	04.FE.50	Kampf A R, Mills S J, Housley R M, Marty J (2013) Lead-tellurium oxysalts from Otto Mountain near Baker, California: VIII. Fuettererite, Pb_3_Cu^2+^_6_Te^6+^O_6_(OH)_7_Cl_5_, a new mineral with double spangolite-type sheets, American Mineralogist 98, 506-511	Pb | Cu | Te | O | H | Cl	hexagonal	http://www.mindat.org/min-42738.html	IMA2011-111
gcmin:fukalite	Fukalite	<https://www.mindat.org/1:1:1619:9>	09.DQ.05	Henmi C, Kusachi I, Kawahara A, Henmi K (1977) Fukalite, a new calcium carbonate silicate hydrate mineral, Mineralogical Journal 8, 374-381	Ca | Si | O | C | H	monoclinic, orthorhombic	http://www.mindat.org/min-1619.html	IMA1976-003
gcmin:fukuchilite	Fukuchilite	<https://www.mindat.org/1:1:1620:5>	02.EB.05a	Kajiwara Y (1969) Fukuchilite, Cu_3_FeS_8_, a new mineral from the Hanawa mine, Akita Prefecture, Japan, Mineralogical Journal 5, 399-416	Cu | Fe | S	cubic	http://www.mindat.org/min-1620.html	IMA1967-009
gcmin:fulbrightite	Fulbrightite	<https://www.mindat.org/1:1:53867:9>	08.CJ.35				https://www.mindat.org/min-53867.html	
gcmin:furongite	Furongite	<https://www.mindat.org/1:1:1621:2>	08.EB.50	Hunan 230 Laboratory, Hunan 305 Geological Team and X-ray Laboratory, Wuhan Geological Institute (1976) Furongite - a new uranium mineral found in China, Acta Geologica Sinica 2, 203-204	Al | U | O | P | H	triclinic	http://www.mindat.org/min-1621.html	
gcmin:furutobeite	Furutobeite	<https://www.mindat.org/1:1:1622:9>	02.BE.10	Sugaki A, Kitakaze A, Odashima Y (1981) Furutobeite, a new copper-silver-lead sulfide mineral, Bulletin de Minéralogie 104, 737-741	Cu | Ag | Pb | S	monoclinic	http://www.mindat.org/min-1622.html	IMA1978-040
gcmin:fuloppite	Fülöppite	<https://www.mindat.org/1:1:1559:8>	02.HC.10a	de Finály I, Koch S (1929) Fülöppite, a new Hungarian mineral of the plagionite-semseyite group, Mineralogical Magazine 22, 179-184	Pb | Sb | S	monoclinic	http://www.mindat.org/min-1559.html	
gcmin:gabrielite	Gabrielite	<https://www.mindat.org/1:1:26386:3>	02.HD.60	Graeser S, Topa D, Balic-Žunic T, Makovicky E (2006) Gabrielite, Tl_2_AgCu_2_As_3_S_7_, a new species of thallium sulfosalt from Lengenbach, Binntal, Switzerland, The Canadian Mineralogist 44, 135-140	Tl | Ag | Cu | As | S	triclinic	http://www.mindat.org/min-26386.html	IMA2002-053
gcmin:gabrielsonite	Gabrielsonite	<https://www.mindat.org/1:1:1626:7>	08.BH.35	Moore P B (1967) Gabrielsonite, PbFe(AsO_4_)(OH), a new member of the descloizite-pyrobelonite group, from Långban, Arkiv för Mineralogi och Geologi 4, 401-405 Chemical formula revised from PbFe(AsO_4_)(OH): Perchiazzi N, Hålenius U, Vignola P, Demitri N (2018) Gabrielsonite revisited: crystal-structure determination and redefinition of chemical formula. European Journal of Mineralogy 30, 1173-1180	Pb | Fe | As | O	orthorhombic	http://www.mindat.org/min-1626.html	IMA1966-011
<https://w3id.org/geochem/1.0/mingroup/32181>	Gadolinite Group	<https://www.mindat.org/1:1:32181:1>					https://mindat.org/min-32181.html	
<https://w3id.org/geochem/1.0/mingroup/50363>	Gadolinite Subgroup	<https://www.mindat.org/1:1:50363:7>					https://mindat.org/min-50363.html	
<https://w3id.org/geochem/1.0/mingroup/50359>	Gadolinite Supergroup	<https://www.mindat.org/1:1:50359:4>					https://mindat.org/min-50359.html	
gcmin:gadolinite-ce	Gadolinite-(Ce)	<https://www.mindat.org/1:1:1627:4>	09.AJ.20	Segalstad T V, Larsen A O (1978) Gadolinite-(Ce) from Skien, southern Oslo region, Norway, American Mineralogist 63, 188-195	Fe | Be | Ce | Si | O	monoclinic	https://www.mindat.org/min-1627.html	
gcmin:gadolinite-nd	Gadolinite-(Nd)	<https://www.mindat.org/1:1:47913:6>	09.AJ.20	Škoda R, Plášil J, Copjaková R, Novák M, Jonsson E, Galiová M V, Holtstam D (2018) Gadolinite-(Nd), a new member of the gadolinite supergroup from Fe-REE deposits of Bastnäs-type, Sweden. Mineralogical Magazine 82, S133-S145	Nd | Fe | Be | O | Si	monoclinic	https://www.mindat.org/min-47913.html	IMA2016-013
gcmin:gadolinite-y	Gadolinite-(Y)	<https://www.mindat.org/1:1:1628:1>	09.AJ.20	Klaproth M H (1802) Chemische untersuchung des gadolinits, Beiträge zur Chemischen Kenntniss der Mineralkörper 3, 52-79 Name changed from gadolinite: Nickel E H, Mandarino J A (1987) Procedures involving the IMA Commission on New Minerals and Mineral Names and guidelines on mineral nomenclature, American Mineralogist 72, 1031-1042	Fe | Be | Y | Si | O	monoclinic, amorphous	http://www.mindat.org/min-1628.html	
gcmin:gagarinite	Gagarinite	<https://www.mindat.org/1:1:44306:1>	03.AB.35				https://www.mindat.org/min-44306.html	
gcmin:gagarinite-y	Gagarinite-(Y)	<https://www.mindat.org/1:1:1629:8>	03.AB.35	Stepanov A V, Severov E A (1961) Gagarinite, a new rare-earth mineral, Doklady Akademii Nauk SSSR 141, 954-957 Name changed from gagarinite: Nickel E H, Mandarino J A (1987) Procedures involving the IMA Commission on New Minerals and Mineral Names and guidelines on mineral nomenclature, American Mineralogist 72, 1031-1042	Na | Ca | Y | F	hexagonal	http://www.mindat.org/min-1629.html	
gcmin:gageite	Gageite	<https://www.mindat.org/1:1:1631:1>	09.DH.35	Phillips A H (1910) Gageite, a new mineral from Franklin, New Jersey, The American Journal of Science 180, 283-284	Mn | Si | O | H	orthorhombic	http://www.mindat.org/min-1631.html	
gcmin:gahnite	Gahnite	<https://www.mindat.org/1:1:1632:8>	04.BB.05	von Moll C E F (1807) Uebersicht. Gahnit, aus Fahlun, Efemeriden der Berg- und Huttenkunde 3, 75-92	Zn | Al | O	cubic	http://www.mindat.org/min-1632.html	
gcmin:gaidonnayite	Gaidonnayite	<https://www.mindat.org/1:1:1634:2>	09.DM.15	Chao G Y, Watkinson D H (1974) Gaidonnayite, Na_2_ZrSi_3_O_9_·2H_2_O, a new mineral from Mont St. Hilaire, Quebec, The Canadian Mineralogist 12, 316-319	Na | Zr | Si | O | H	orthorhombic	http://www.mindat.org/min-1634.html	IMA1973-008
<https://w3id.org/geochem/1.0/mingroup/470606>	Gaidonnayite Group	<https://www.mindat.org/1:1:470606:5>					https://mindat.org/min-470606.html	
gcmin:gainesite	Gainesite	<https://www.mindat.org/1:1:1635:9>	08.CA.20	Moore P B, Araki T, Steele I M, Swihart G H, Kampf A R (1983) Gainesite, sodium zirconium beryllophosphate: a new mineral and its crystal structure, American Mineralogist 68, 1022-1028 Chemical formula revised: Foord E E, Brownfield M E, Lichte F E, Davis A M, Sutley S J (1994) McCrillisite, NaCs(Be,Li)Zr_2_(PO_4_)_4_·1-2H_2_O, a new mineral species from Mount Mica, Oxford County, Maine, and new data for gainesite, The Canadian Mineralogist 32, 839-842	Na | Be | Li | Zr | P | O | H	tetragonal	http://www.mindat.org/min-1635.html	IMA1978-020
<https://w3id.org/geochem/1.0/mingroup/42029>	Gainesite Group	<https://www.mindat.org/1:1:42029:1>					https://mindat.org/min-42029.html	
gcmin:gaitite	Gaitite	<https://www.mindat.org/1:1:1636:6>	08.CG.05	Sturman B D, Dunn P J (1980) Gaitite, H_2_Ca_2_Zn(AsO_4_)_2_(OH)_2_, a new mineral from Tsumeb, Namibia (South West Africa), The Canadian Mineralogist 18, 197-200	Ca | Zn | As | O | H	triclinic	http://www.mindat.org/min-1636.html	IMA1978-047
gcmin:galaxite	Galaxite	<https://www.mindat.org/1:1:1639:7>	04.BB.05	Ross C S, Kerr P F (1932) The manganese minerals of a vein near Bald Knob, North Carolina, American Mineralogist 17, 1-18	Mn | Al | O	cubic	http://www.mindat.org/min-1639.html	
gcmin:galeite	Galeite	<https://www.mindat.org/1:1:1640:3>	07.BD.10	Pabst A, Sawyer D L, Switzer G (1955) Galeite, a new mineral from Searles Lake, California. Geological Society of America Bulletin 66, 1658-1659	Na | S | O | Cl | F	hexagonal	http://www.mindat.org/min-1640.html	
gcmin:galena	Galena	<https://www.mindat.org/1:1:1641:0>	02.CD.10	Mineral name has been known since antiquity and predates any formal descriptive publication	Pb | S	cubic	http://www.mindat.org/min-1641.html	
<https://w3id.org/geochem/1.0/mingroup/40331>	Galena Group	<https://www.mindat.org/1:1:40331:9>					https://mindat.org/min-40331.html	
gcmin:galenobismutite	Galenobismutite	<https://www.mindat.org/1:1:1642:7>	02.JC.25e	Sjögren H (1878) Om några vismutmineralier från Nordmarks grufvor i Vermland I. Gedigen vismut, Geologiska Föreningens i Stockholm Förhandlingar 4, 106-111	Pb | Bi | S	orthorhombic	http://www.mindat.org/min-1642.html	
gcmin:galgenbergite-ce	Galgenbergite-(Ce)	<https://www.mindat.org/1:1:11209:1>	05.CC.40	Hollerer C E (1998) Ca(REE)_2_(CO_3_)_4_·H_2_O, ein neues Mineral aus der Steiermark, Österreich, Mitteilungen der Österreichischen Mineralogischen Gesellschaft 143, 200-201	Ca | Ce | C | O | H	triclinic	http://www.mindat.org/min-11209.html	IMA1997-036
gcmin:galkhaite	Galkhaite	<https://www.mindat.org/1:1:1643:4>	02.GB.20	Grudzen V S, Stepanov V I, Shumkova N G, Chernitsova M M, Yudin R N, Bryzgalov I A (1972) Galkhaite, HgAsS_2_, a new mineral from arsenic-antimony-mercury deposits of the USSR, Doklady Akademii Nauk SSSR 205, 1194-1197 Chemical formula revised from HgAsS_2_: Chen T T, Szymanski J T (1981) The structure and chemistry of galkhaite, a mercury sulfosalt containing Cs and Tl, The Canadian Mineralogist 19, 571-581 Chemical formula revised from (Cs,Tl,[box])(Hg,Cu,Zn,Tl)_6_(As,Sb)_4_S_12_: Biagioni C, Bindi L, Zaccarini F (2014) Crystal chemistry of mercury sulfosalts – galkhaite, (Hg_5+x_Cu_1-x_)Cs_1-x_As_4_S_12_ (x˜0): crystal structure and revision of the chemical formula. The Canadian Mineralogist 52, 873-882	Hg | Cu | Cs | As | S	cubic	http://www.mindat.org/min-1643.html	IMA1971-029
<https://w3id.org/geochem/1.0/mingroup/51816>	Galkhaite Group	<https://www.mindat.org/1:1:51816:1>					https://mindat.org/min-51816.html	
gcmin:galliskiite	Galliskiite	<https://www.mindat.org/1:1:39639:2>	08.DH.65	Kampf A R, Colombo F, Simmons W B, Falster A U, Nizamoff J W (2010) Galliskiite, Ca_4_Al_2_(PO_4_)_2_F_8_·5H_2_O, a new mineral from the Gigante granitic pegmatite, Córdoba province, Argentina, American Mineralogist 95, 392-396	Ca | Al | P | O | F | H	triclinic	http://www.mindat.org/min-39639.html	IMA2009-038
gcmin:gallite	Gallite	<https://www.mindat.org/1:1:1644:1>	02.CB.10a	Strunz H, Geier B H, Seeliger E (1958) Gallit, CuGaS_2_, das erste selbständige galliummineral, und seine verbreitung in den Erzen der Tsumeb- und Kipushi-Mine, Neues Jahrbuch für Mineralogie, Monatshefte 1958, 241-264	Cu | Ga | S	tetragonal	http://www.mindat.org/min-1644.html	
gcmin:gallobeudantite	Gallobeudantite	<https://www.mindat.org/1:1:6962:1>	08.BL.05	Jambor J L, Owens D R, Grice J D, Feinglos M N (1996) Gallobeudantite, PbGa_3_[(AsO_4_),(SO_4_)]_2_(OH)_6_, a new mineral species from Tsumeb, Namibia, and associated new gallium analogues of the alunite-jarosite family, The Canadian Mineralogist 34, 1305-1315	Pb | Ga | As | O | S | H	hexagonal	http://www.mindat.org/min-6962.html	IMA1994-021
gcmin:galloplumbogummite	Galloplumbogummite	<https://www.mindat.org/1:1:43325:9>	08.BL.10	Schlüter J, Malcherek T, Mihailova B (2014) Galloplumbogummite from Tsumeb, Namibia, a new member of the alunite group with tetravalent charge balance. Neues Jahrbuch für Mineralogie, Abhandlungen 191, 301-309	Pb | Ga | Al | Ge | P | O | H	hexagonal	http://www.mindat.org/min-43325.html	IMA2010-088
gcmin:galuskinite	Galuskinite	<https://www.mindat.org/1:1:41778:3>	09.AH.15	Lazic B, Armbruster T, Savelyeva V B, Zadov A E, Pertsev N N, Dzierzanowski P (2011) Galuskinite, Ca_7_(SiO_4_)_3_(CO_3_), a new skarn mineral from the Birkhin gabbro massif, Eastern Siberia, Russia, Mineralogical Magazine 75, 2631-2648	Ca | Si | O | C	monoclinic	http://www.mindat.org/min-41778.html	IMA2010-075
gcmin:gamagarite	Gamagarite	<https://www.mindat.org/1:1:1645:8>	08.BG.05	de Villiers J E (1943) Gamagarite, a new vanadium mineral from the Postmasburg manganese deposits, American Mineralogist 28, 329-335	Ba | Fe | V | O | H	monoclinic	http://www.mindat.org/min-1645.html	
gcmin:gananite	Gananite	<https://www.mindat.org/1:1:1646:5>	03.AC.20	Cheng L, Hu Z, Pan S, Huang R, Guo S (1984) Gananite (a-BiF_3_), a new bismofluoride mineral from Jiangsi, China, Yanshi Kuangwu Ji Ceshi 3, 119-123	Bi | F	cubic	http://www.mindat.org/min-1646.html	IMA1983-006
gcmin:ganomalite	Ganomalite	<https://www.mindat.org/1:1:1647:2>	09.BG.25	Nordenskiöld A E (1876) Mötet den 6 April 1876. Åtskilliga nya mineralfynd vid Nordmarken och Långban, Geologiska Föreningens i Stockholm Förhandlingar 3, 119-123 Chemical formula revised: Dunn P J, Peacor D R, Valley J W, Randall C A (1985) Ganomalite from Franklin, New Jersey, and Jakobsberg, Sweden: new chemical and crystallographic data, Mineralogical Magazine 49, 579-582	Pb | Ca | Si | O	hexagonal	http://www.mindat.org/min-1647.html	
gcmin:ganophyllite	Ganophyllite	<https://www.mindat.org/1:1:1649:6>	09.EG.30	Hamberg A (1890) Ueber Ganophyllit, ein Manganzeolith, von Harstigen. Geologiska Föreningens i Stockholm Förhandlingar 12, 586-598. Chemical formula revised, based on its isomorphism with tamaite: Hughes J M, Rakovan J, Bracco R, Gunter M E (2003) The atomic arrangement of the ganophyllite-group modulated layer silicates as determined from the orthorhombic dimorph of tamaite, with the elusive 16.8 Å ganophyllite-group superstructure revealed, American Mineralogist 88, 1324-1330	K | Na | Mn | Si | Al | O | H	monoclinic	http://www.mindat.org/min-1649.html	
<https://w3id.org/geochem/1.0/mingroup/35532>	Ganophyllite Group	<https://www.mindat.org/1:1:35532:2>					https://mindat.org/min-35532.html	
gcmin:ganterite	Ganterite	<https://www.mindat.org/1:1:25676:6>	09.EC.15	Graeser S, Hetherington C J, Gieré R (2003) Ganterite, a new barium-dominant analogue of muscovite from the Berisal Complex, Simplon Region, Switzerland, The Canadian Mineralogist 41, 1271-1280	Ba | Na | K | Al | Si | O | H	monoclinic	http://www.mindat.org/min-25676.html	IMA2000-033
gcmin:gaotaiite	Gaotaiite	<https://www.mindat.org/1:1:6963:8>	02.EB.05a	Yu Z (1995) Gaotaiite - A new iridium telluride, Acta Mineralogica Sinica 15, 1-4	Ir | Te	cubic	http://www.mindat.org/min-6963.html	IMA1993-017
gcmin:garavellite	Garavellite	<https://www.mindat.org/1:1:1650:2>	02.HA.20	Gregorio F, Lattanzi P, Tanelli G, Vurro F (1979) Garavellite, FeSbBiS_4_, a new mineral from the Cu-Fe deposit of Valle del Frigido in the Apuane Alps, northern Tuscany, Italy, Mineralogical Magazine 43, 99-102	Fe | Sb | Bi | S	orthorhombic	http://www.mindat.org/min-1650.html	IMA1978-018
<https://w3id.org/geochem/1.0/mingroup/10272>	Garnet	<https://www.mindat.org/1:1:10272:0>					https://www.mindat.org/min-10272.html	
<https://w3id.org/geochem/1.0/mingroup/10272>	Garnet Group	<https://www.mindat.org/1:1:10272:0>					https://www.mindat.org/min-10272.html	
<https://w3id.org/geochem/1.0/mingroup/1651>	Garnet Supergroup	<https://www.mindat.org/1:1:1651:9>					https://mindat.org/min-1651.html	
gcmin:garpenbergite	Garpenbergite	<https://www.mindat.org/1:1:55440:0>	04.BB				https://www.mindat.org/min-55440.html	
gcmin:garrelsite	Garrelsite	<https://www.mindat.org/1:1:1652:6>	09.AJ.15	Milton C, Axelrod J M, Grimaldi F S (1955) New mineral, garrelsite (Ba_.65_Ca_.29_Mg_.06_)_4_H_6_Si_2_B_6_O_20_, from the Green River formation, Utah, Bulletin of the Geological Society of America 66, 1597-1597	Na | Ba | B | Si | O | H	monoclinic	http://www.mindat.org/min-1652.html	
<https://w3id.org/geochem/1.0/mingroup/46692>	Garronite	<https://www.mindat.org/1:1:46692:9>					https://www.mindat.org/min-470670.html	
gcmin:garronite-ca	Garronite-Ca	<https://www.mindat.org/1:1:1653:3>	09.GC.05	Walker G P L (1962) Garronite, a new zeolite, from Ireland and Iceland, Mineralogical Magazine 33, 173-186 Chemical formula revised from NaCa_2.5_(Si_10_Al_6_)O_32_·13H_2_O: Artioli G (1992) The crystal structure of garronite. American Mineralogist 77, 189-196 Name changed from garronite to garronite-Ca: Hålenius U, Hatert F, Pasero M, Mills S J (2015) IMA Commission on New Minerals, Nomenclature and Classification (CNMNC) Newsletter 26. New minerals and nomenclature modifications approved in 2015. Mineralogical Magazine 79, 941-947	Na | Ca | Si | Al | O | H	tetragonal	https://www.mindat.org/min-1653.html	
gcmin:garronite-na	Garronite-Na	<https://www.mindat.org/1:1:46690:1>	09.GC	Grice J D, Rowe R, Poirier G (2016) Garronite-Na, a new zeolite species from Mont Saint-Hilaire, Québec. The Canadian Mineralogist 54, 1549-1562	Na | Al | Si | O | H	monoclinic	https://www.mindat.org/min-46690.html	IMA2015-015
gcmin:gartrellite	Gartrellite	<https://www.mindat.org/1:1:1654:0>	08.CG.20	Nickel E H, Robinson B W, FitzGerald O, Birch W D (1989) Gartrellite, a new secondary arsenate mineral from Ashburton Downs, W.A. and Broken Hill, N.S.W., Australian Mineralogist 4, 83-89 Chemical formula redefined: Krause W, Belendorff K, Bernhardt H J, McCammon C A, Effenberger H, Mikenda W (1998) Crystal chemistry of the tsumcorite-group minerals. New data on ferrilotharmeyerite, tsumcorite, thometzekite, mounanaite, helmutwinklerite, and a redefinition of gartrellite, European Journal of Mineralogy 10, 179-206	Pb | Cu | Fe | As | O | H	triclinic	http://www.mindat.org/min-1654.html	IMA1988-039
