[s]	label	def	note	b	blabel	source
secm:sidewall_core_mechanical	Rotary sidewall coring	Mechanical tools use hollow rotary drills to cut and then pull out core plugs. Up to 75 plugs can be recovered on one run. With full recovery, cores from typical percussion tools are 1 in. [2.5 cm] in diameter by 1 3/4 in. [4.4 cm] long, while those from mechanical tools are 0.91 in. [2.3 cm] in diameter by 2 in. [5 cm] long. The latter are also known as rotary sidewall cores.		secm:sidewall_core	Sidewall coring	Geoscience Australia
secm:slurpsampling	Slurp sampling	For some small, delicate, or flexible specimens, the “slurp” hose is used to ensure that the sample is collected and handled with the proper care. ROV pilots use the manipulator arm to pick up the handle of this vacuum-like hose, which then sucks up water, sediment, and small or delicate fauna into one of the slurp containers.		secm:ses233	Suction Sampler	https://nautiluslive.org/science/sampling-procedures
secm:sm001	Composite water sampling- preserve with reagent	composite water sample  preserved with reagent (e.g. nitric acid  sulfuric acid) as part of sampling process		secm:sm010	Composite water sampling	e.g. see http://www.azdeq.gov/environ/water/assessment/download/sampling.pdf
secm:sm002	Composite water sampling-filter	composite water sample  filtered as part of the sampling process (in the field or within a very short time period after collection)		secm:sm010	Composite water sampling	e.g. see http://www.azdeq.gov/environ/water/assessment/download/sampling.pdf
secm:sm003	Composite water sampling- filter and preserve with reagent	composite filtered water sample  preserved with reagent (e.g. nitric acid  sulfuric acid) as part of sampling process		secm:sm002	Composite water sampling-filter	e.g. see http://www.azdeq.gov/environ/water/assessment/download/sampling.pdf
secm:sm003	Composite water sampling- filter and preserve with reagent	composite filtered water sample  preserved with reagent (e.g. nitric acid  sulfuric acid) as part of sampling process		secm:sm001	Composite water sampling- preserve with reagent	e.g. see http://www.azdeq.gov/environ/water/assessment/download/sampling.pdf
secm:sm005	Soft material coring	General category for methods to extract columnar samples perpendicular to the depositional surface from soil or sediment that is poorly enough consolidated that it can be sampled without rotary drilling.		secm:sm041	Coring	SESAR collection method
secm:sm006	Chain bag dredge	Sampling of large rocks from the sea floor using a chain bag		secm:sm033	Dredge sampling	Geoscience Australia
secm:sm006	Chain bag dredge	Sampling of large rocks from the sea floor using a chain bag		secm:sm033	Dredge sampling	SESAR collection method; http://www.deepreef.org/technology/79-rock-dredge.html
secm:sm006	Chain bag dredge	A rock dredge is a large bag made of metal chain links attached to a simple heavy frame that keeps the bag expanded. The dredge is lowered off the back of a ship to the seafloor and dragged along to collect large pieces of rock. Because of the coarse chain links  most of the finer material is washed out of the bag  leaving behind the larger rock and gravel pieces within the chain bag. The dredge is then winched up to the surface and any samples are dumped onto the deck of the ship to be sorted and preserved.		secm:sm033	Dredge sampling	Geoscience Australia
secm:sm006	Chain bag dredge	A rock dredge is a large bag made of metal chain links attached to a simple heavy frame that keeps the bag expanded. The dredge is lowered off the back of a ship to the seafloor and dragged along to collect large pieces of rock. Because of the coarse chain links  most of the finer material is washed out of the bag  leaving behind the larger rock and gravel pieces within the chain bag. The dredge is then winched up to the surface and any samples are dumped onto the deck of the ship to be sorted and preserved.		secm:sm033	Dredge sampling	SESAR collection method; http://www.deepreef.org/technology/79-rock-dredge.html
secm:sm007	Hand auger coring	core extracted from sediment or soil by a hand rotated tool with a special bit that extracts short segments of cored sediment; many variations in design.		secm:core_drilling_unspecified	Core drilling	this vocabulary; http://www.oakenviro.com/pdfs/Dutch%20Auger%20equipment%20options%20-%20Eijkelkamp.pdf
secm:sm008	Inverted funnel to evacuated bottle gas collection	Gas is collected from a bubbling subaqueous gas source by inverting a suitable size and composition funnel over the gas source connected by a tube to an evacuated bottle gas collector.		secm:sm011	Evacuated bottle gas sampling	
secm:sm009	Inverted funnel to flow through bottle gas collection	Gas is collected from a bubbling subaqueous gas source by inverting a suitable size and composition funnel over the gas source  connected by a tube to a  flow through bottle gas collector.		secm:sm012	Flow through bottle gas sampling	
secm:sm010	Composite water sampling	water sample collected through some documented process over an extended water volume  meant to characterize that volume  e.g. a profile in a lake  a stream cross section  or some volume in the ocean. Many different processes may be used to collect subsamples and aggregate them into a representative single sample.		secm:waterbodywatersampling	Water body water sampling	e.g. see http://www.azdeq.gov/environ/water/assessment/download/sampling.pdf
secm:sm010	Composite water sampling	water sample collected through some documented process over an extended water volume  meant to characterize that volume  e.g. a profile in a lake  a stream cross section  or some volume in the ocean. Many different processes may be used to collect subsamples and aggregate them into a representative single sample.		secm:sm014	Water sampling	e.g. see http://www.azdeq.gov/environ/water/assessment/download/sampling.pdf
secm:sm011	Evacuated bottle gas sampling	A chemically inert and durable tube e.g. titanium quartz alumina or mullite) is inserted into the gas source, and allowed to thermally equilibrate with the gas; a specially prepared collection bottle with a high vacuum stopcock and sample port is attached to the collection tube.   The bottle is prepared with a concentrated aqueous sodium hydroxide solution, carefully weighed and evacuated with a vacuum pump. As gas bubbles through the alkaline solution, acid gases such as CO2 H2S SO2 HCl and HF dissolve into the liquid. The remaining gases such as N2 O2 H2 CO and He collect in the headspace of the bottle. Geothermal system gases are typically omposed mostly of water and condensable acid gases that are absorbed into the alkaline solution, so many liters of gas can be collected in a single bottle. This method concentrates gases in the solution and headspace and thereby promotes better analytical precision. Typically used for hot (volcanic geothermal) gas collection.		secm:sm013	Gas sampling	http://volcanoes.usgs.gov/activity/methods/gas/sample.php
secm:sm011	Evacuated bottle gas sampling	A chemically inert and durable tube e.g. titanium quartz alumina or mullite) is inserted into the gas source, and allowed to thermally equilibrate with the gas; a specially prepared collection bottle with a high vacuum stopcock and sample port is attached to the collection tube.   The bottle is prepared with a concentrated aqueous sodium hydroxide solution, carefully weighed and evacuated with a vacuum pump. As gas bubbles through the alkaline solution, acid gases such as CO2 H2S SO2 HCl and HF dissolve into the liquid. The remaining gases such as N2 O2 H2 CO and He collect in the headspace of the bottle. Geothermal system gases are typically omposed mostly of water and condensable acid gases that are absorbed into the alkaline solution, so many liters of gas can be collected in a single bottle. This method concentrates gases in the solution and headspace and thereby promotes better analytical precision. Typically used for hot (volcanic geothermal) gas collection.		secm:sm013	Gas sampling	https://asgmt.com/wp-content/uploads/2018/10/105.pdf
secm:sm011	Evacuated bottle gas sampling	A chemically inert and durable tube e.g. titanium quartz alumina or mullite) is inserted into the gas source, and allowed to thermally equilibrate with the gas; a specially prepared collection bottle with a high vacuum stopcock and sample port is attached to the collection tube.   The bottle is prepared with a concentrated aqueous sodium hydroxide solution, carefully weighed and evacuated with a vacuum pump. As gas bubbles through the alkaline solution, acid gases such as CO2 H2S SO2 HCl and HF dissolve into the liquid. The remaining gases such as N2 O2 H2 CO and He collect in the headspace of the bottle. Geothermal system gases are typically omposed mostly of water and condensable acid gases that are absorbed into the alkaline solution, so many liters of gas can be collected in a single bottle. This method concentrates gases in the solution and headspace and thereby promotes better analytical precision. Typically used for hot (volcanic geothermal) gas collection.		secm:sm013	Gas sampling	https://pubs.usgs.gov/of/1974/0361/report.pdf
secm:sm012	Flow through bottle gas sampling	Insert a suitable chemically inert and durable tube (e.g. titanium  quartz  alumina  or mullite) into gas source. After allowing the tube to heat until condensation in the tube has reached equilibrium with the escaping gases  usually about 5 minutes  a specially-designed flow-through sample bottle with a stopcock at each end and a hand-operated pump is attached to the collection tubing.  The hand pump flushes out air and draws the gas into the bottle. This collection method is faster that the evacuated bottle method. It is used when a complete gas analysis is not necessary  or where field conditions are too hazardous to safely make an evacuated-bottle collection. Sulfur gases are stable for only a short time so this type of sample must be analyzed within a few hours of collection.		secm:sm013	Gas sampling	http://volcanoes.usgs.gov/activity/methods/gas/sample.php
secm:sm013	Gas sampling	general class for gas sampling methods	include Headspace equilibration method; https://doi.org/10.1016/j.jenvman.2012.06.033	secm:sm043	Fluid sampling	this vocabulary
secm:sm014	Water sampling	Generic category for any method off acquiring a water sample. Water collected into a suitable container from a single sampling point. Includes grab sample from stream  samples collected by machines that open and close sampling bottles as the device is lowered through water column. e.g. Van Dorn bottles,  Kemmerer Water Sampler		secm:sm043	Fluid sampling	Geoscience Australia
secm:sm014	Water sampling	Generic category for any method off acquiring a water sample. Water collected into a suitable container from a single sampling point. Includes grab sample from stream  samples collected by machines that open and close sampling bottles as the device is lowered through water column. e.g. Van Dorn bottles,  Kemmerer Water Sampler		secm:sm043	Fluid sampling	e.g. see http://www.azdeq.gov/environ/water/assessment/download/sampling.pdf
secm:sm014	Water sampling	Any method used to sample water.		secm:sm043	Fluid sampling	Geoscience Australia
secm:sm014	Water sampling	Any method used to sample water.		secm:sm043	Fluid sampling	e.g. see http://www.azdeq.gov/environ/water/assessment/download/sampling.pdf
secm:sm015	Channel sampling	sampling material along a channel through a feature of interest.	chip an approximately 3-inch by 3-inch (7.5 cm by 7.5 cm) channel accross the sampled feature (e.g. a coal bed) with a chisel or pick-point hammer  producing  fragments 2 inches (5 cm) or less across. Positioning a horizontal plastic sheet below the level of channel cutting is sometimes helpful.  May also be applied to sampling at regular intervals along a channel or trench cut across a surface.	secm:sm016	Collected from outcrop	USGS Circular; Vernon E. Swanson and Claude Huffman  Jr.  1976  GUIDELINES FOR SAMPLE COLLECTING AND ANALYTICAL METHODS USED IN THE U.S. GEOLOGICAL SURVEY FOR DETERMINING CHEMICAL COMPOSITION OF COAL: U. S. Geological Survey  CIRCULAR 735. accessed at http://energy.er.usgs.gov/products/databases/CoalQual/Docs/c735.pdf
secm:sm015	Channel sampling	sampling material along a channel through a feature of interest.	chip an approximately 3-inch by 3-inch (7.5 cm by 7.5 cm) channel accross the sampled feature (e.g. a coal bed) with a chisel or pick-point hammer  producing  fragments 2 inches (5 cm) or less across. Positioning a horizontal plastic sheet below the level of channel cutting is sometimes helpful.  May also be applied to sampling at regular intervals along a channel or trench cut across a surface.	secm:sm016	Collected from outcrop	
secm:sm016	Collected from outcrop	specimen obtained by breaking piece(s) of rock from rock outcrop  on surface  or in a subsurface tunnel		secm:sm035	Manual grab	this vocabulary
secm:sm017	Manual surface grab	Specimen obtained from loose material on surface  e.g. from talus, colluvium, mine heap.		secm:ses218	Human grab from surface	this vocabulary
secm:sm018	Sediment trap	Sediment traps are containers placed in the water column to collect particles falling toward the sea floor. The traps collect tiny sediment or larger accumulations called marine snow - made up of organic matter, dead sea creatures, tiny shells, dust and minerals.	The basic sediment trap consists of a broad funnel with a collecting jar at the bottom. The funnel opening covers a standard area (such as 0.25 square meter [2.7 square feet]) and has baffles at the top to keep out very large objects that might clog the funnel.	secm:sm100	Sampling method	http://www.whoi.edu/instruments/viewInstrument.do?id=10286
secm:sm018	Sediment trap	Sediment traps are containers placed in the water column to collect particles falling toward the sea floor. The traps collect tiny sediment or larger accumulations called marine snow - made up of organic matter, dead sea creatures, tiny shells, dust and minerals.	The basic sediment trap consists of a broad funnel with a collecting jar at the bottom. The funnel opening covers a standard area (such as 0.25 square meter [2.7 square feet]) and has baffles at the top to keep out very large objects that might clog the funnel.	secm:sm100	Sampling method	SESAR collection method; 
secm:sm018	Sediment trap	Sediment traps are containers placed in the water column to collect particles falling toward the sea floor. The traps collect tiny sediment or larger accumulations called marine snow - made up of organic matter, dead sea creatures, tiny shells, dust and minerals.	The basic sediment trap consists of a broad funnel with a collecting jar at the bottom. The funnel opening covers a standard area (such as 0.25 square meter [2.7 square feet]) and has baffles at the top to keep out very large objects that might clog the funnel.	secm:sm100	Sampling method	Geoscience Australia
secm:sm019	Panned concentrate sampling	Use of a gold-miners pan to concentrate heavy minerals from a loose sediment (typcially stream sediment) sample		secm:densityseparation	Density separation	this vocabulary
secm:sm020	Split processed sample	mechanical separation of part a processed sample; e.g. taking grains from a mineral separate, splitting a powdered sample  splitting a crushed sample		secm:sm045	Processed separation	this vocabulary
secm:sm021	Suspended sediment separate	Suspended sediment separated from containing water by filtration or centrifuge.		secm:sm045	Processed separation	SESAR collection method; this vocabulary
secm:sm021	Suspended sediment separate	Suspended sediment separated from containing water by filtration or centrifuge.		secm:filtration	Filtration residue sampling	SESAR collection method; this vocabulary
secm:sm022	Water sampling- preserve with reagent	water sample  preserved with reagent (e.g. nitric acid  sulfuric acid) as part of sampling process		secm:waterbodywatersampling	Water body water sampling	e.g. see http://www.azdeq.gov/environ/water/assessment/download/sampling.pdf
secm:sm022	Water sampling- preserve with reagent	water sample  preserved with reagent (e.g. nitric acid  sulfuric acid) as part of sampling process		secm:sm014	Water sampling	e.g. see http://www.azdeq.gov/environ/water/assessment/download/sampling.pdf
secm:sm023	Water sampling-filter	water is filtered as part of the sampling process (in the field or within a very short time period after collection) Sample is filtrate.	Include Hot Fluid Sampler (HFS), collects hot fluid samples using various types of filters https://www.pmel.noaa.gov/eoi/nemo2003/logbook/aug27.html	secm:sm014	Water sampling	e.g. see http://www.azdeq.gov/environ/water/assessment/download/sampling.pdf
secm:sm023	Water sampling-filter	water is filtered as part of the sampling process (in the field or within a very short time period after collection) Sample is filtrate.	Include Hot Fluid Sampler (HFS), collects hot fluid samples using various types of filters https://www.pmel.noaa.gov/eoi/nemo2003/logbook/aug27.html	secm:waterbodywatersampling	Water body water sampling	e.g. see http://www.azdeq.gov/environ/water/assessment/download/sampling.pdf
secm:sm024	Water sampling-filter and preserve with reagent	water sample is filtered and preserved with reagent (e.g. nitric acid  sulfuric acid) as part of sampling process		secm:sm023	Water sampling-filter	e.g. see http://www.azdeq.gov/environ/water/assessment/download/sampling.pdf
secm:sm024	Water sampling-filter and preserve with reagent	water sample is filtered and preserved with reagent (e.g. nitric acid  sulfuric acid) as part of sampling process		secm:sm022	Water sampling- preserve with reagent	e.g. see http://www.azdeq.gov/environ/water/assessment/download/sampling.pdf
secm:sm025	Box Coring	A method that obtains a large volume or large surface area core with shallow penetration and minimum disturbance. Commonly uses a double spade system.  A box core uses trigger plates that contact the seafloor to close the top and bottom of a metal box plunged into the seabed. This device neatly extracts a plug of sediment that is mostly undisturbed and allows scientists to examine the layers of sediment carefully and any marine life found within.  Use this category for Eckman Dredge samples as well		secm:sm005	Soft material coring	SESAR collection method; http://www.deepreef.org/technology/9-grab.html; http://www.eu-hermione.net/box-core; http://www.azdeq.gov/environ/water/assessment/download/sampling.pdf (Eckman dredge)
secm:sm025	Box Coring	A method that obtains a large volume or large surface area core with shallow penetration and minimum disturbance. Commonly uses a double spade system.  A box core uses trigger plates that contact the seafloor to close the top and bottom of a metal box plunged into the seabed. This device neatly extracts a plug of sediment that is mostly undisturbed and allows scientists to examine the layers of sediment carefully and any marine life found within.  Use this category for Eckman Dredge samples as well		secm:sm005	Soft material coring	Geoscience Australia
secm:sm026	Gravity Coring	Coring that relies on the weight of the device for penetration into the seafloor. Geoscience Australia's gravity corer consists of a one tonne weight atop a steel core barrel which houses an internal PVC core sleeve. The unit is lowered to a predetermined height above the seafloor using a wire rope before being allowed to freefall. The resulting core enters the internal sleeve and is held in place by a core catcher. The wire rope is then reeled in and the inner sleeve is removed from the core barrel and the core is processed. Gravity cores up to 12 metres in length can be collected with some systems but in practice recoveries are typically less than six metres. The gravity corer is designed for use in areas of soft, unconsolidated sediment.		secm:sm005	Soft material coring	SESAR collection method; http://www.whoi.edu/instruments/viewInstrument.do?id=8087  http://www.whoi.edu/instruments/viewInstrument.do?id=1079
secm:sm026	Gravity Coring	Coring that relies on the weight of the device for penetration into the seafloor. Geoscience Australia's gravity corer consists of a one tonne weight atop a steel core barrel which houses an internal PVC core sleeve. The unit is lowered to a predetermined height above the seafloor using a wire rope before being allowed to freefall. The resulting core enters the internal sleeve and is held in place by a core catcher. The wire rope is then reeled in and the inner sleeve is removed from the core barrel and the core is processed. Gravity cores up to 12 metres in length can be collected with some systems but in practice recoveries are typically less than six metres. The gravity corer is designed for use in areas of soft, unconsolidated sediment.		secm:sm005	Soft material coring	Geoscience Australia
secm:sm027	Hand Held Coring	Collects core by operator pushing the core tube into the sediment to be sampled; may be assisted by vibration induced in the core tube.  Like push core, but manually operated.		secm:core_push	Push coring	SESAR collection method
secm:sm028	Multi coring	sampling by pushing a device into seafloor sediments that extracts many tubular samples of sediment at once. The multicore has a cone-shaped aluminum frame. In the middle are eight plastic tubes. When the frame settles on the floor  the center of the multicore slowly and evenly pushes the tubes into the sediment. The tubes are capped at the top and bottom and the multicore comes back to the surface with eight samples of sediment.		secm:sm005	Soft material coring	SESAR collection method
secm:sm028	Multi coring	sampling by pushing a device into seafloor sediments that extracts many tubular samples of sediment at once. The multicore has a cone-shaped aluminum frame. In the middle are eight plastic tubes. When the frame settles on the floor  the center of the multicore slowly and evenly pushes the tubes into the sediment. The tubes are capped at the top and bottom and the multicore comes back to the surface with eight samples of sediment.		secm:sm005	Soft material coring	http://polardiscovery.whoi.edu/expedition5/tools_multicore.html 
secm:sm029	Piston Coring	Piston corers have a piston mechanism that is triggered when the corer hits the bottom. As the barrel enters the sediment a special internal piston creates a vacuum and helps to draw the core into the barrel. The piston helps to avoid disturbing the sediment. As the piston corer penetrates the seafloor  the piston inside stops at the sediment surface. The action of the piston creates a pressure differential at the top of the sediment column. This allows the soft material to enter the core liner without disruption. A piston corer uses a 'free fall' of the coring rig to achieve a greater initial force on impact than gravity coring  and a sliding piston inside the core barrel to reduce inside wall friction with the sediment and to assist in the evacuation of displaced water from the top of the corer. The piston-coring rig is comprised of a trigger assembly  the coring weight assembly  core barrels  tip assembly  and piston.	consists of a weight fitted connected to a steel sample tube, with a PVC liner tube inside the full-length of the core barrel. A piston is fitted inside the PVC liner and is attached to a wire that runs inside the corer barrel, through a hole in the centre of the weight and is attached to the main deployment wire. The corer is lowered on a wire to the seabed until a trigger weight, suspended from the corer weight via an arm, contacts the seabed, and releases the corer for free-fall a distance pre-set by the length of trigger wire to sink into the sediment. As the corer penetrates the sediment it reaches a point where the piston inside the barrel  is level with the surface of the sediment. As the corer sinks further into the sediment, the piston should remain static at its optimum point at the sediment surface. The core tube then moves past the piston into the sediment creating a vacuum at the top of the tube which helps to overcome the friction generated between the sediment and the inside of the core liner. https://noc.ac.uk/facilities/national-marine-equipment-pool/scientific-engineering/seafloor-sampling	secm:sm005	Soft material coring	https://www.ga.gov.au/scientific-topics/marine/survey-techniques/sedimentary-coring-drilling
secm:sm029	Piston Coring	Piston corers have a piston mechanism that is triggered when the corer hits the bottom. As the barrel enters the sediment a special internal piston creates a vacuum and helps to draw the core into the barrel. The piston helps to avoid disturbing the sediment. As the piston corer penetrates the seafloor  the piston inside stops at the sediment surface. The action of the piston creates a pressure differential at the top of the sediment column. This allows the soft material to enter the core liner without disruption. A piston corer uses a 'free fall' of the coring rig to achieve a greater initial force on impact than gravity coring  and a sliding piston inside the core barrel to reduce inside wall friction with the sediment and to assist in the evacuation of displaced water from the top of the corer. The piston-coring rig is comprised of a trigger assembly  the coring weight assembly  core barrels  tip assembly  and piston.	consists of a weight fitted connected to a steel sample tube, with a PVC liner tube inside the full-length of the core barrel. A piston is fitted inside the PVC liner and is attached to a wire that runs inside the corer barrel, through a hole in the centre of the weight and is attached to the main deployment wire. The corer is lowered on a wire to the seabed until a trigger weight, suspended from the corer weight via an arm, contacts the seabed, and releases the corer for free-fall a distance pre-set by the length of trigger wire to sink into the sediment. As the corer penetrates the sediment it reaches a point where the piston inside the barrel  is level with the surface of the sediment. As the corer sinks further into the sediment, the piston should remain static at its optimum point at the sediment surface. The core tube then moves past the piston into the sediment creating a vacuum at the top of the tube which helps to overcome the friction generated between the sediment and the inside of the core liner. https://noc.ac.uk/facilities/national-marine-equipment-pool/scientific-engineering/seafloor-sampling	secm:sm005	Soft material coring	SESAR collection method; http://www.whoi.edu/instruments/gallery.do?mainid=17288&iid=8087; http://www.tdi-bi.com/field_services/sge_info/piston_coring.htm
secm:sm030	Probe core	Soil or sediment collected by pneumatically pushing or pounding a sleeve  through soft sediments via a rig mounted on the back of a pick-up truck or on an ATV.  Note: Sediment in cores commonly is compressed to 30-50% of the in situ volume. Wildco corer.		secm:sm005	Soft material coring	SESAR collection method; http://www.fandm.edu/earth-and-environment/sediment-sampling-methods
secm:sm031	Vibrator Coring	A core tube is attached to a source of mechanical vibration (the power head) and lowered into  sediment. The vibrations provide energy for rearranging the particles within the sediment in such a way that the coretube penetrates under the static weight of the vibracoring apparatus. Samples include stiff and stony clays, soft rock and sands, and saturated sediments which can not be sampled using gravity or piston corers. Also know as VIBRA.	Vibracoring (or vibrocoring) is a technology and a technique for collecting core samples of underwater sediments and wetland soils.  The vibrating mechanism of a vibracorer  sometimes called the _vibrahead_  operates on hydraulic  pneumatic  mechanical or electrical power from an external source.  The attached core tube is driven into sediment by the force of gravity  enhanced by vibration energy.  When the insertion is completed  the vibracorer is turned off  and the tube is withdrawn with the aid of hoist equipment.	secm:sm005	Soft material coring	http://www.pvltech.com
secm:sm031	Vibrator Coring	A core tube is attached to a source of mechanical vibration (the power head) and lowered into  sediment. The vibrations provide energy for rearranging the particles within the sediment in such a way that the coretube penetrates under the static weight of the vibracoring apparatus. Samples include stiff and stony clays, soft rock and sands, and saturated sediments which can not be sampled using gravity or piston corers. Also know as VIBRA.	Vibracoring (or vibrocoring) is a technology and a technique for collecting core samples of underwater sediments and wetland soils.  The vibrating mechanism of a vibracorer  sometimes called the _vibrahead_  operates on hydraulic  pneumatic  mechanical or electrical power from an external source.  The attached core tube is driven into sediment by the force of gravity  enhanced by vibration energy.  When the insertion is completed  the vibracorer is turned off  and the tube is withdrawn with the aid of hoist equipment.	secm:sm005	Soft material coring	SESAR collection method; http://www.vibracoring.com/vcconcepts.html
secm:sm032	Blasting	sample collected from rock material freed from outcrop by explosives; similar to surface grab in that precise location of specimen in the rock body is not precisely known		secm:sm047	Surface grab 	SESAR collection method
secm:sm033	Dredge sampling	samples _grabbed_ from submarine surface by dragging a basket with an enclosed bottom (solid or open-chain) along the bottom of the water body.	Used for sampling sediment material or rock from the bottom of a water body.  Use Trawl if focus is on pelagic or benthic biome.	secm:waterbodysampling	Water body survey sampling	SESAR collection method
secm:sm033	Dredge sampling	samples _grabbed_ from submarine surface by dragging a basket with an enclosed bottom (solid or open-chain) along the bottom of the water body.	Used for sampling sediment material or rock from the bottom of a water body.  Use Trawl if focus is on pelagic or benthic biome.	secm:waterbodysampling	Water body survey sampling	Geoscience Australia
secm:sm034	Grab from trench or pit	loose sediment collected into bag from the wall of a trench, stream bank  or pit--any vertical cut that provides access to a near surface soil and sediment profile; common for sampling soil horizons.		secm:sm035	Manual grab	this vocabulary
secm:sm035	Manual grab	Material sample is obtained by picking up an object by hand		secm:sm047	Surface grab 	SESAR collection method
secm:sm036	Sediment grab	Sediment grabs come in all shapes and sizes  but they all do much the same thing  to collect a sample of sediment from the seabed. Sediment grabs are often named after their inventors. For example  the Smith-MacIntyre grab is lowered from ships  and on contact with the seabed a split cylindrical bucket is triggered which scoops up about 10 litres of sediment. Another is the Van-Veen grab like a giant pair of tongs which closes two halves of the bucket together as the winch draws the cable in. Sediment is then evenly scooped into the large buckets. A sediment grab does not attempt to preserve the internal structure of the sediment  which disginguishes it from soft sediment coring.		secm:sm039	Water body bottom grab	http://www.deepreef.org/technology/9-grab.html
secm:sm037	Stream sediment composite	composite of several single grab sediment samples collected from a stream channel agregatted in the field. Sample might be collected from subaqueous stream bed, or in a dry stream channel.		secm:sm047	Surface grab 	this vocabulary
secm:sm038	Stream sediment single grab	stream sediment collected from bed of a stream at a single location; Sample might be collected from subaqueous stream bed, or in a dry stream channel.		secm:sm047	Surface grab 	this vocabulary
secm:sm039	Water body bottom grab	Specimens gathered from the bed of a water body by a mechanical grab primarily for lithogical and petrographical analyses.		secm:waterbodysampling	Water body survey sampling	SESAR collection method
secm:sm039	Water body bottom grab	Specimens gathered from the bed of a water body by a mechanical grab primarily for lithogical and petrographical analyses.		secm:waterbodysampling	Water body survey sampling	Geoscience Australia
secm:sm039	Water body bottom grab	Specimens gathered from the bed of a water body by a mechanical grab primarily for lithogical and petrographical analyses.		secm:sm047	Surface grab 	SESAR collection method
secm:sm039	Water body bottom grab	Specimens gathered from the bed of a water body by a mechanical grab primarily for lithogical and petrographical analyses.		secm:sm047	Surface grab 	Geoscience Australia
secm:sm039	Water body bottom grab	Samples _grabbed_ from submarine surface		secm:waterbodysampling	Water body survey sampling	SESAR collection method
secm:sm039	Water body bottom grab	Samples _grabbed_ from submarine surface		secm:waterbodysampling	Water body survey sampling	Geoscience Australia
secm:sm039	Water body bottom grab	Samples _grabbed_ from submarine surface		secm:sm047	Surface grab 	SESAR collection method
secm:sm039	Water body bottom grab	Samples _grabbed_ from submarine surface		secm:sm047	Surface grab 	Geoscience Australia
secm:sm040	Lag sample	Sample collected by sweeping up surface lag material over some area and bagging it.  Generally only used in arid or semi-arid environments where surface lag is representative in some way of underlying bedrock.		secm:ses218	Human grab from surface	this vocabulary
secm:sm041	Coring	Sample is removed from sampling feature by extracting an undisturbed provile  typically as a long cylinder  meant to preserve the internal structure of the sampled sediment or rock.  sample extracted as a cylinder of material drilled out of the feature of interest; diameter can range from mm to m, lengths mm to 100_s of m.		secm:sm100	Sampling method	this vocabulary
secm:sm043	Fluid sampling	General category for gas and water sampling procedures that obtain a specimen in a sealed container, or feed directly to analytical equipment (e.g. autosamplers).		secm:sm100	Sampling method	this vocabulary
secm:sm044	Other sampling procedure	Specimen obtained using some mechnical process not identified in this vocabulary		secm:sm100	Sampling method	this vocabulary
secm:sm045	Processed separation	separation of part of a sample by some lab technique; have to look at processing method for details. E.g. density separation  magnetic separation  insoluble residue  hand picking.  Too many possibilities to categorize each subsampling method.		secm:sm100	Sampling method	this vocabulary
secm:sm046	Splitting from bulk sample	mechanical separation of part of a bulk sample. E.g. breaking a hand sample up with a hammer and taking pieces, cutting peices from a solid sample, splitting material in a bagged sample		secm:sm045	Processed separation	this vocabulary
secm:sm047	Surface grab 	Specimen obtained by picking up material from a surface, subaerial or subaqueous; may involve breaking material away from outcrop  or picking up loose material on surface		secm:sm100	Sampling method	this vocabulary
secm:sm100	Sampling method	Top concept, for all methods used to collect material samples				this vocabulary
secm:sm200	Sediment water incubation sampling	Samples that include sediment and water, typically from near water body bottom, collected		secm:sm100	Sampling method	
secm:surface_material_sampling	Subaerial surface sampling	Collection of earth materials at the ground surface on land.		secm:sm047	Surface grab 	Geoscience Australia
secm:trawlsampling	Trawl sampling	Collection of sample by dragging a net through the water column or along the bottom of the water column. Connotation is focus on biome in the water or at the water-sediment interface, but might include suspended sediment in water or sediment from water body bottom.	Include net systems that might be simple manual scoops through near surface, and systems that pump lots of water through a net (e.g. 'big Bertha, https://serc.si.edu/node/38659) to achieve the same effect.	secm:waterbodysampling	Water body survey sampling	this vocabulary
secm:undergound_mine_sampling	Undergound mine sampling	Collection of material from a rock outcrop exposed beneath the ground surface (eg, a mine), typically using a hammer.		secm:surface_material_sampling	Subaerial surface sampling	Geoscience Australia
secm:unknown	unknown	The sampling method is unknown.		secm:sm100	Sampling method	
secm:vacuumporewatersampling	Vacuum pore water sampling	Extraction of pore water from soil or sediment by creating a vacuum.		secm:sm014	Water sampling	https://www.sedgeochem.uni-bremen.de/rhizon.html
secm:vacuumporewatersampling	Vacuum pore water sampling	Extraction of pore water from soil or sediment by creating a vacuum.		secm:sm014	Water sampling	https://www.rhizosphere.com/rhizons/
secm:waterbodysampling	Water body survey sampling	Collection of materials during a marine, lacustrine, or coastal survey by any method.		secm:sm100	Sampling method	Geoscience Australia
secm:waterbodywatersampling	Water body water sampling	Collection of water samples from a water body; includes surface water, lakes, marine water.		secm:waterbodysampling	Water body survey sampling	this vocabulary
secm:waxcoring	Wax coring	Samples sediment and volcanic glass at the sea floor by crashing a weighted core tube that has a ring of sticky wax at the bottom into the sea floor.  Invented to sample volcanic glass shards in surface deposits along mid ocean ridges.		secm:sm005	Soft material coring	https://web.mit.edu/deeparch/www/publications/papers/YoergerEtAl1999.pdf
